Cantidad_Total,Venta_Total,NumeroDocumento,NombreCliente,Municipio,Departamento,NombreProducto,NitCliente,Fuente,CodVendedor,NombreVendedor,Referencia,FechaDocumento,Presentacion,Clasificacion,Meses de la ultima compra,Vent_positivas,Dev_positivas
-8,-270640,DEV0000001,Cliente 1,BOGOTA,SANTA FE DE BOGOTA,POLIOL POLIMERICO,6840882-7,Devoluci¢n,08,Vendedor 1,14397003,15/01/2021,KILOS,QUIMICOS,51,0,270640
-1850,-60032500,DEV0000002,Cliente 2,MANIZALES,CALDAS,MDI,288345402-7,Devoluci¢n,11,Vendedor 4,14397006,29/01/2021,KILOS,QUIMICOS,50,0,60032500
-100,-1025250,DEV0000003,Cliente 3,Medell°n,Antioquia,PARAFINA MEDIA,375065971-0,Devoluci¢n,08,Vendedor 1,14361002,10/02/2021,KILOS,PARAFINAS,50,0,1025250
-600,-6454500,DEV0000004,Cliente 4,PEREIRA,RISARALDA,PARAFINA LIVIANA,370282-7,Devoluci¢n,08,Vendedor 1,14361001,10/02/2021,KILOS,PARAFINAS,50,0,6454500
-50,-1404625,DEV0000005,Cliente 5,Medell°n,Antioquia,T.D.I. 80/20,2076364389-0,Devoluci¢n,08,Vendedor 1,14397004,10/02/2021,KILOS,QUIMICOS,50,0,1404625
-5,-357125,DEV0000005,Cliente 5,Medell°n,Antioquia,SILICONA,2076364389-0,Devoluci¢n,08,Vendedor 1,14397007,10/02/2021,KILOS,QUIMICOS,50,0,357125
-0.2,-37084,DEV0000006,Cliente 6,CUCUTA,NORTE DE SANTANDER,COLORANTE A LA GRASA,608235987-3,Devoluci¢n,08,Vendedor 1,14377010,16/02/2021,GRAMOS,Colorantes,50,0,37084
-10,-125425,DEV0000007,Cliente 7,BOGOTA,SANTA FE DE BOGOTA,POLIOL ESTANDAR,33215504-7,Devoluci¢n,08,Vendedor 1,14397002,24/02/2021,KILOS,QUIMICOS,49,0,125425
-43,-1473825,DEV0000008,Cliente 8,Medell°n,Antioquia,POLIOL ESTANDAR,64976420-8,Devoluci¢n,08,Vendedor 1,14397002,26/02/2021,KILOS,QUIMICOS,49,0,1473825
-400,-5017000,DEV0000009,Cliente 9,PALMIRA,VALLE DEL CAUCA,ACIDO ESTEARICO HPS P10,198321412-3,Devoluci¢n,08,Vendedor 1,14392002,12/03/2021,KILOS,CERAS Y ADITIVOS,49,0,5017000
-35,-438987.5,DEV0000010,Cliente 9,PALMIRA,VALLE DEL CAUCA,ACIDO ESTEARICO HPS P10,198321412-3,Devoluci¢n,08,Vendedor 1,14392002,12/03/2021,KILOS,CERAS Y ADITIVOS,49,0,438987.5
-600,-6906000,DEV0000011,Cliente 10,BOGOTA,SANTA FE DE BOGOTA,PARAFINA FR 58-60,682343079-2,Devoluci¢n,11,Vendedor 4,14391001,24/03/2021,KILOS,Parafinas,48,0,6906000
-600,-6747000,DEV0000011,Cliente 10,,SANTA FE DE BOGOTA,PARAFINA FR 56/58 EN SACO,682343079-2,Devoluci¢n,11,Vendedor 4,14391003,24/03/2021,KILOS,PARAFINAS,48,0,6747000
-1000,-11510000,DEV0000012,Cliente 10,BOGOTA,SANTA FE DE BOGOTA,PARAFINA FR 58-60,682343079-2,Devoluci¢n,11,Vendedor 4,14391001,24/03/2021,KILOS,Parafinas,48,0,11510000
-1000,-11245000,DEV0000012,Cliente 10,BOGOTA,SANTA FE DE BOGOTA,PARAFINA FR 56/58 EN SACO,682343079-2,Devoluci¢n,11,Vendedor 4,14391003,24/03/2021,KILOS,PARAFINAS,48,0,11245000
-800,-9208000,DEV0000013,Cliente 10,BOGOTA,SANTA FE DE BOGOTA,PARAFINA FR 58-60,682343079-2,Devoluci¢n,11,Vendedor 4,14391001,24/03/2021,KILOS,Parafinas,48,0,9208000
-800,-8996000,DEV0000013,Cliente 10,BOGOTA,SANTA FE DE BOGOTA,PARAFINA FR 56/58 EN SACO,682343079-2,Devoluci¢n,11,Vendedor 4,14391003,24/03/2021,KILOS,PARAFINAS,48,0,8996000
-600,-6747000,DEV0000014,Cliente 10,BOGOTA,SANTA FE DE BOGOTA,PARAFINA FR 58-60,682343079-2,Devoluci¢n,11,Vendedor 4,14391001,24/03/2021,KILOS,Parafinas,48,0,6747000
-600,-6906000,DEV0000014,Cliente 10,BOGOTA,SANTA FE DE BOGOTA,PARAFINA FR 56/58 EN SACO,682343079-2,Devoluci¢n,11,Vendedor 4,14391003,24/03/2021,KILOS,PARAFINAS,48,0,6906000
-810,-25596000,DEV0000015,Cliente 11,ARMENIA - QUINDIO,QUINDIO,POLIOL ESTANDAR,4570680-4,Devoluci¢n,08,Vendedor 1,14397002,25/03/2021,KILOS,QUIMICOS,48,0,25596000
-25,-329812.5,DEV0000016,Cliente 12,SOPO,CUNDINAMARCA,PARAFINA FR 58-60,718359532-2,Devoluci¢n,08,Vendedor 1,14391001,25/03/2021,KILOS,Parafinas,48,0,329812.5
-43,-1337945,DEV0000017,Cliente 13,ANDES,Antioquia,POLIOL POLIMERICO,1498343563-2,Devoluci¢n,08,Vendedor 1,14397003,25/03/2021,KILOS,QUIMICOS,48,0,1337945
-600,-6777000,DEV0000018,Cliente 14,SEVILLA,VALLE DEL CAUCA,PARAFINA SR 58/60,34676368-5,Devoluci¢n,08,Vendedor 1,14391002,26/03/2021,KILOS,PARAFINAS,48,0,6777000
-20,-607600,DEV0000019,Cliente 15,BOGOTA,SANTA FE DE BOGOTA,POLIOL POLIMERICO,29976026-9,Devoluci¢n,08,Vendedor 1,14397003,29/03/2021,KILOS,QUIMICOS,48,0,607600
-6800,-69632000,DEV0000020,Cliente 16,IBAGUE,TOLIMA,PARAFINA MEDIA,414365362-1,Devoluci¢n,08,Vendedor 1,14361002,29/03/2021,KILOS,PARAFINAS,48,0,69632000
-50,-579250,DEV0000021,Cliente 17,RIONEGRO,Antioquia,PARAFINA FR 58-60,89929273-9,Devoluci¢n,08,Vendedor 1,14391001,14/04/2021,KILOS,Parafinas,48,0,579250
-80,-1081600,DEV0000021,Cliente 17,RIONEGRO,Antioquia,PARAFINA SR 58/60,89929273-9,Devoluci¢n,08,Vendedor 1,14391002,14/04/2021,KILOS,PARAFINAS,48,0,1081600
-35,-464450,DEV0000021,Cliente 17,RIONEGRO,Antioquia,PARAFINA FR 56/58 EN SACO,89929273-9,Devoluci¢n,08,Vendedor 1,14391003,14/04/2021,KILOS,PARAFINAS,48,0,464450
-50,-684250,DEV0000022,Cliente 17,RIONEGRO,Antioquia,PARAFINA FR 58-60,89929273-9,Devoluci¢n,08,Vendedor 1,14391001,14/04/2021,KILOS,Parafinas,48,0,684250
-80,-1081400,DEV0000022,Cliente 17,RIONEGRO,Antioquia,PARAFINA SR 58/60,89929273-9,Devoluci¢n,08,Vendedor 1,14391002,14/04/2021,KILOS,PARAFINAS,48,0,1081400
-70,-928900,DEV0000022,Cliente 17,RIONEGRO,Antioquia,PARAFINA FR 56/58 EN SACO,89929273-9,Devoluci¢n,08,Vendedor 1,14391003,14/04/2021,KILOS,PARAFINAS,48,0,928900
-1000,-10620000,DEV0000023,Cliente 18,LA ESTRELLA,Antioquia,PARAFINA MEDIA,531499871-2,Devoluci¢n,08,Vendedor 1,14361002,14/04/2021,KILOS,PARAFINAS,48,0,10620000
-2400,-25488000,DEV0000024,Cliente 18,LA ESTRELLA,Antioquia,PARAFINA MEDIA,531499871-2,Devoluci¢n,08,Vendedor 1,14361002,14/04/2021,KILOS,PARAFINAS,48,0,25488000
-344,-11416500,DEV0000025,Cliente 19,BOGOTA,SANTA FE DE BOGOTA,POLIOL ESTANDAR,78546176-7,Devoluci¢n,08,Vendedor 1,14397002,09/04/2021,KILOS,QUIMICOS,48,0,11416500
-343,-10495800,DEV0000025,Cliente 19,BOGOTA,SANTA FE DE BOGOTA,POLIOL POLIMERICO,78546176-7,Devoluci¢n,08,Vendedor 1,14397003,09/04/2021,KILOS,QUIMICOS,48,0,10495800
-200,-2269000,DEV0000026,Cliente 20,IPIALES,NARI•O,PARAFINA MEDIA,57858117-9,Devoluci¢n,08,Vendedor 1,14361002,14/04/2021,KILOS,PARAFINAS,48,0,2269000
-2000,-21070000,DEV0000027,Cliente 21,SANDONµ,NARI•O,PARAFINA LIVIANA,49754082-0,Devoluci¢n,08,Vendedor 1,14361001,22/04/2021,KILOS,PARAFINAS,47,0,21070000
-1400,-14749000,DEV0000027,Cliente 21,SANDONµ,NARI•O,PARAFINA MEDIA,49754082-0,Devoluci¢n,08,Vendedor 1,14361002,22/04/2021,KILOS,PARAFINAS,47,0,14749000
-1000,-12022500,DEV0000028,Cliente 22,IBAGUE,TOLIMA,PARAFINA MEDIA,43531527-6,Devoluci¢n,08,Vendedor 1,14361002,22/04/2021,KILOS,PARAFINAS,47,0,12022500
-1000,-14045000,DEV0000028,Cliente 22,IBAGUE,TOLIMA,PARAFINA SR 58/60,43531527-6,Devoluci¢n,08,Vendedor 1,14391002,22/04/2021,KILOS,PARAFINAS,47,0,14045000
-50,-679875,DEV0000030,Cliente 17,RIONEGRO,Antioquia,PARAFINA FR 58-60,89929273-9,Devoluci¢n,08,Vendedor 1,14391001,12/05/2021,KILOS,Parafinas,47,0,679875
-100,-1351750,DEV0000030,Cliente 17,RIONEGRO,Antioquia,PARAFINA SR 58/60,89929273-9,Devoluci¢n,08,Vendedor 1,14391002,12/05/2021,KILOS,PARAFINAS,47,0,1351750
-0.2,-14948.5,DEV0000031,Cliente 24,Medell°n,Antioquia,COLORANTE FLUORESCENTE,355172627-9,Devoluci¢n,08,Vendedor 1,14377009,13/05/2021,GRAMOS,Colorantes,47,0,14948.5
-0.2,-15806.5,DEV0000031,Cliente 24,Medell°n,Antioquia,COLORANTE FLUORESCENTE,355172627-9,Devoluci¢n,08,Vendedor 1,14377009,13/05/2021,GRAMOS,Colorantes,47,0,15806.5
-0.2,-12938,DEV0000031,Cliente 24,Medell°n,Antioquia,COLORANTE FLUORESCENTE,355172627-9,Devoluci¢n,08,Vendedor 1,14377009,13/05/2021,GRAMOS,Colorantes,47,0,12938
-0.2,-12408,DEV0000031,Cliente 24,Medell°n,Antioquia,COLORANTE FLUORESCENTE,355172627-9,Devoluci¢n,08,Vendedor 1,14377009,13/05/2021,GRAMOS,Colorantes,47,0,12408
-0.2,-12345.5,DEV0000031,Cliente 24,Medell°n,Antioquia,COLORANTE FLUORESCENTE,355172627-9,Devoluci¢n,08,Vendedor 1,14377009,13/05/2021,GRAMOS,Colorantes,47,0,12345.5
-0.2,-12485.5,DEV0000031,Cliente 24,Medell°n,Antioquia,COLORANTE FLUORESCENTE,355172627-9,Devoluci¢n,08,Vendedor 1,14377009,13/05/2021,GRAMOS,Colorantes,47,0,12485.5
-2800,-31528000,DEV0000032,Cliente 25,ARMENIA - QUINDIO,QUINDIO,PARAFINA MEDIA,77585537-9,Devoluci¢n,08,Vendedor 1,14361002,14/05/2021,KILOS,PARAFINAS,47,0,31528000
-420,-13072500,DEV0000033,Cliente 26,CUCUTA,NORTE DE SANTANDER,POLIOL POLIMERICO,23234964-6,Devoluci¢n,08,Vendedor 1,14397003,24/05/2021,KILOS,QUIMICOS,46,0,13072500
-25,-684375,DEV0000034,Cliente 27,BOGOTA,SANTA FE DE BOGOTA,SILICONA,123093251-5,Devoluci¢n,08,Vendedor 1,14397007,27/05/2021,KILOS,QUIMICOS,46,0,684375
-200,-3248500,DEV0000035,Cliente 28,DOSQUEBRADAS,RISARALDA,PARAFINA MEDIA,234452406-2,Devoluci¢n,08,Vendedor 1,14361002,28/05/2021,KILOS,PARAFINAS,46,0,3248500
-400,-5721010,DEV0000036,Cliente 29,BOGOTA,SANTA FE DE BOGOTA,PARAFINA FR58-60,111040568-9,Devoluci¢n,16,Vendedor 2,14501004,03/06/2021,KILOS,PARAFINAS,46,0,5721010
-42,-1333500,DEV0000037,Cliente 30,PEREIRA,RISARALDA,POLIOL POLIMERICO,550994009-6,Devoluci¢n,02,Vendedor 3,14397003,08/06/2021,KILOS,QUIMICOS,46,0,1333500
